"bracnh4$EVENT_DTTM","count","Year","Month","Day","Hour"
"2013 07 01 08",2,"2013"," 07"," 01"," 08"
"2013 07 01 09",17,"2013"," 07"," 01"," 09"
"2013 07 01 10",7,"2013"," 07"," 01"," 10"
"2013 07 01 11",32,"2013"," 07"," 01"," 11"
"2013 07 01 12",16,"2013"," 07"," 01"," 12"
"2013 07 01 13",19,"2013"," 07"," 01"," 13"
"2013 07 01 14",34,"2013"," 07"," 01"," 14"
"2013 07 01 15",18,"2013"," 07"," 01"," 15"
"2013 07 01 16",26,"2013"," 07"," 01"," 16"
"2013 07 01 17",31,"2013"," 07"," 01"," 17"
"2013 07 01 18",30,"2013"," 07"," 01"," 18"
"2013 07 01 19",5,"2013"," 07"," 01"," 19"
"2013 07 02 08",7,"2013"," 07"," 02"," 08"
"2013 07 02 09",19,"2013"," 07"," 02"," 09"
"2013 07 02 10",12,"2013"," 07"," 02"," 10"
"2013 07 02 11",10,"2013"," 07"," 02"," 11"
"2013 07 02 12",23,"2013"," 07"," 02"," 12"
"2013 07 02 13",18,"2013"," 07"," 02"," 13"
"2013 07 02 14",36,"2013"," 07"," 02"," 14"
"2013 07 02 15",17,"2013"," 07"," 02"," 15"
"2013 07 02 16",6,"2013"," 07"," 02"," 16"
"2013 07 02 17",16,"2013"," 07"," 02"," 17"
"2013 07 02 18",10,"2013"," 07"," 02"," 18"
"2013 07 02 19",3,"2013"," 07"," 02"," 19"
"2013 07 03 08",3,"2013"," 07"," 03"," 08"
"2013 07 03 09",11,"2013"," 07"," 03"," 09"
"2013 07 03 10",28,"2013"," 07"," 03"," 10"
"2013 07 03 11",14,"2013"," 07"," 03"," 11"
"2013 07 03 12",29,"2013"," 07"," 03"," 12"
"2013 07 03 13",20,"2013"," 07"," 03"," 13"
"2013 07 03 14",25,"2013"," 07"," 03"," 14"
"2013 07 03 15",15,"2013"," 07"," 03"," 15"
"2013 07 03 16",27,"2013"," 07"," 03"," 16"
"2013 07 03 17",20,"2013"," 07"," 03"," 17"
"2013 07 03 18",10,"2013"," 07"," 03"," 18"
"2013 07 03 19",5,"2013"," 07"," 03"," 19"
"2013 07 04 08",18,"2013"," 07"," 04"," 08"
"2013 07 04 09",16,"2013"," 07"," 04"," 09"
"2013 07 04 10",20,"2013"," 07"," 04"," 10"
"2013 07 04 11",20,"2013"," 07"," 04"," 11"
"2013 07 04 12",17,"2013"," 07"," 04"," 12"
"2013 07 04 13",28,"2013"," 07"," 04"," 13"
"2013 07 04 14",18,"2013"," 07"," 04"," 14"
"2013 07 04 15",18,"2013"," 07"," 04"," 15"
"2013 07 04 16",13,"2013"," 07"," 04"," 16"
"2013 07 04 17",24,"2013"," 07"," 04"," 17"
"2013 07 04 18",14,"2013"," 07"," 04"," 18"
"2013 07 04 19",5,"2013"," 07"," 04"," 19"
"2013 07 05 09",13,"2013"," 07"," 05"," 09"
"2013 07 05 10",34,"2013"," 07"," 05"," 10"
"2013 07 05 11",17,"2013"," 07"," 05"," 11"
"2013 07 05 12",18,"2013"," 07"," 05"," 12"
"2013 07 05 13",14,"2013"," 07"," 05"," 13"
"2013 07 05 14",14,"2013"," 07"," 05"," 14"
"2013 07 05 15",29,"2013"," 07"," 05"," 15"
"2013 07 05 16",11,"2013"," 07"," 05"," 16"
"2013 07 05 17",23,"2013"," 07"," 05"," 17"
"2013 07 05 18",23,"2013"," 07"," 05"," 18"
"2013 07 05 19",13,"2013"," 07"," 05"," 19"
"2013 07 06 09",11,"2013"," 07"," 06"," 09"
"2013 07 06 10",6,"2013"," 07"," 06"," 10"
"2013 07 06 11",20,"2013"," 07"," 06"," 11"
"2013 07 06 12",32,"2013"," 07"," 06"," 12"
"2013 07 06 13",30,"2013"," 07"," 06"," 13"
"2013 07 06 14",3,"2013"," 07"," 06"," 14"
"2013 07 08 08",3,"2013"," 07"," 08"," 08"
"2013 07 08 09",11,"2013"," 07"," 08"," 09"
"2013 07 08 10",32,"2013"," 07"," 08"," 10"
"2013 07 08 11",17,"2013"," 07"," 08"," 11"
